runId,condition,repetition,status,functionalSuccess,finalSubmission,compilation,class,rejectsNullName,mechanism,nullNameTestsFailed,failingChecks,citedLines
i29-v11__generation_s__agentic__none__r1,generation_s__agentic__none,1,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:126: String name = player.getTeamName();
i29-v11__generation_s__agentic__none__r2,generation_s__agentic__none,2,completed,True,3,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:97: String name = selected.getTeamName();
i29-v11__generation_s__agentic__none__r3,generation_s__agentic__none,3,completed,True,3,pass,fallback,fail,recorded,0,,"ApoMarioLevel.java:1191: String name = best.getTeamName(); | ApoMarioHighscore.java:44: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:169: String name = best.getTeamName();"
i29-v11__generation_s__agentic__none__r4,generation_s__agentic__none,4,completed,True,3,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:105: String name = player.getTeamName(); | ApoMarioHighscore.java:107: name = player.getAi().getTeamName();
i29-v11__generation_s__agentic__none__r5,generation_s__agentic__none,5,completed,True,3,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:163: String name = player.getTeamName();
i29-v11__generation_s__agentic__static-guard__r1,generation_s__agentic__static-guard,1,completed,True,2,pass,fallback,pass,recorded,0,,"ApoMarioHighscore.java:136: String name = selected.getTeamName(); | ApoMarioHighscore.java:144: if (playerName.length() > MAX_NAME_LENGTH) playerName = ""Player""; | ApoMarioHighscore.java:179: if (name == null || name.length() == 0) return ""Player"";"
i29-v11__generation_s__agentic__static-guard__r2,generation_s__agentic__static-guard,2,budget_exhausted,False,2,pass,fallback,pass,recorded,2,recordedSurvivalTimeIsTheRealElapsedTime secondRunAlsoRecordedAndBoardSortedDescending,"ApoMarioMenu.java:590: if (name == null) name = ""Player""; | ApoMarioHighscore.java:97: name = selected.getTeamName();"
i29-v11__generation_s__agentic__static-guard__r3,generation_s__agentic__static-guard,3,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:133: name = selected.getTeamName();
i29-v11__generation_s__agentic__static-guard__r4,generation_s__agentic__static-guard,4,completed,True,2,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:148: playerName = selected.getTeamName();
i29-v11__generation_s__agentic__static-guard__r5,generation_s__agentic__static-guard,5,completed,True,4,pass,fallback,pass,recorded,0,,"ApoMarioLevel.java:1202: if (selected.getTeamName() != null && selected.getTeamName().length() > 0) name = selected.getTeamName(); | ApoMarioLevel.java:1210: if (name.length() > 32 || name.indexOf('\t') >= 0 || name.indexOf('\r') >= 0 || name.indexOf('\n') >= 0) name = ""Player""; | ApoMarioHighscore.java:100: if (selected.getTeamName() != null && selected.getTeamName().length() > 0) { | ApoMarioHighscore.java:101: playerName = selected.getTeamName(); | ApoMarioHighscoreView.java:57: if (name == null || name.length() == 0) return ""Player"";"
