runId,condition,repetition,status,functionalSuccess,finalSubmission,compilation,class,rejectsNullName,mechanism,nullNameTestsFailed,failingChecks,citedLines
i31-v13__generation_s__agentic__none__r1,generation_s__agentic__none,1,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:180: String name = selected.getTeamName();
i31-v13__generation_s__agentic__none__r2,generation_s__agentic__none,2,completed,True,1,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:44: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:129: String name = selected.getTeamName();"
i31-v13__generation_s__agentic__none__r3,generation_s__agentic__none,3,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:98: String name = selected.getTeamName();
i31-v13__generation_s__agentic__none__r4,generation_s__agentic__none,4,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:97: String name = selected.getTeamName();
i31-v13__generation_s__agentic__none__r5,generation_s__agentic__none,5,completed,True,2,pass,fallback,fail,recorded,0,,"ApoMarioHighscore.java:33: String name = playerName == null ? ""Player"" : playerName.trim(); | ApoMarioHighscore.java:80: storeRun(selected.getPoints(), level.getPassedTime(), selected.getTeamName());"
i31-v13__generation_s__agentic__static-guard__r1,generation_s__agentic__static-guard,1,completed,True,5,pass,passthrough,pass,rejected_at_store,0,,ApoMarioLevel.java:202: String name = player.getTeamName(); | ApoMarioHighscore.java:191: String name = player.getTeamName();
i31-v13__generation_s__agentic__static-guard__r2,generation_s__agentic__static-guard,2,completed,True,3,pass,skip_on_null,pass,skipped_at_hook,0,,ApoMarioHighscore.java:87: if (selected.getTeamName() != null && isValidName(selected.getTeamName())) { | ApoMarioHighscore.java:88: name = selected.getTeamName().trim();
i31-v13__generation_s__agentic__static-guard__r3,generation_s__agentic__static-guard,3,completed,True,2,pass,skip_on_null,pass,skipped_at_hook,0,,ApoMarioHighscore.java:63: if (selected.getTeamName() != null && selected.getTeamName().trim().length() > 0 | ApoMarioHighscore.java:64: && selected.getTeamName().length() <= MAX_NAME_LENGTH) { | ApoMarioHighscore.java:65: name = selected.getTeamName().trim();
i31-v13__generation_s__agentic__static-guard__r4,generation_s__agentic__static-guard,4,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:97: String name = selected.getTeamName(); | ApoMarioHighscore.java:99: name = selected.getAi().getTeamName();
i31-v13__generation_s__agentic__static-guard__r5,generation_s__agentic__static-guard,5,budget_exhausted,False,2,pass,passthrough,pass,rejected_at_store,0,recordsRealPlayerName recordedNameIsTheRealPlayersName,ApoMarioHighscore.java:89: if (selected != null && selected.getAi() != null && selected.getAi().getTeamName() != null) { | ApoMarioHighscore.java:90: String candidate = selected.getAi().getTeamName().trim();
