runId,condition,repetition,status,functionalSuccess,finalSubmission,compilation,class,rejectsNullName,mechanism,nullNameTestsFailed,failingChecks,citedLines
i32a-s1__generation_s__single_shot__static__r1,generation_s__single_shot__static,1,budget_exhausted,False,1,pass,passthrough,pass,rejected_at_store,0,recordsRealScore recordsRealSurvivalTime recordsRealPlayerName recordRunEndAddsExactlyOneEntry,ApoMarioLevel.java:1202: String playerName = selected.getTeamName();
i32a-s1__generation_s__single_shot__static__r2,generation_s__single_shot__static,2,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:176: String name = player == null ? null : player.getTeamName();
i32a-s1__generation_s__single_shot__static__r3,generation_s__single_shot__static,3,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:100: String name = player == null ? null : player.getTeamName();
i32a-s1__generation_s__single_shot__static__r4,generation_s__single_shot__static,4,budget_exhausted,False,,,none,,none,0,,
i32a-s1__generation_s__single_shot__static__r5,generation_s__single_shot__static,5,budget_exhausted,False,,,none,,none,0,,
i32a-s1__reuse_sb__single_shot__static__r1,reuse_sb__single_shot__static,1,completed,True,1,pass,fallback,pass,recorded,0,,"ApoMarioHighscore.java:80: report(""Rejected highscore with a null player name""); | ApoMarioHighscore.java:189: String name = selected.getTeamName();"
i32a-s1__reuse_sb__single_shot__static__r2,reuse_sb__single_shot__static,2,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:95: String name = selected.getTeamName();
i32a-s1__reuse_sb__single_shot__static__r3,reuse_sb__single_shot__static,3,budget_exhausted,False,,,none,,none,0,,
i32a-s1__reuse_sb__single_shot__static__r4,reuse_sb__single_shot__static,4,budget_exhausted,False,1,pass,fallback,pass,recorded,0,recordsRealScore recordsRealSurvivalTime recordsRealPlayerName recordRunEndAddsExactlyOneEntry,"ApoMarioPanel.java:569: String name = selected.getTeamName(); | ApoMarioHighscore.java:121: String fileName = store.getFileName() == null ? ""highscores"" : store.getFileName().toString(); | ApoMarioHighscore.java:122: temporary = (parent == null ? Paths.get(fileName + "".tmp"") : parent.resolve(fileName + "".tmp""));"
i32a-s1__reuse_sb__single_shot__static__r5,reuse_sb__single_shot__static,5,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:177: String name = selected.getTeamName();
