runId,condition,repetition,status,functionalSuccess,finalSubmission,compilation,class,rejectsNullName,mechanism,nullNameTestsFailed,failingChecks,citedLines
i26-graph__generation_s__agentic__ast__r1,generation_s__agentic__ast,1,completed,True,3,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:71: String name = best.getTeamName();
i26-graph__generation_s__agentic__ast__r2,generation_s__agentic__ast,2,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:95: String name = player.getTeamName();
i26-graph__generation_s__agentic__none__r1,generation_s__agentic__none,1,completed,True,1,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:105: String name = selected.getTeamName();
i26-graph__generation_s__agentic__none__r2,generation_s__agentic__none,2,completed,True,2,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:119: String name = player.getTeamName();
i26-graph__generation_s__agentic__static-ast-guard__r1,generation_s__agentic__static-ast-guard,1,completed,True,2,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:80: String name = selected.getTeamName();
i26-graph__generation_s__agentic__static-ast-guard__r2,generation_s__agentic__static-ast-guard,2,budget_exhausted,False,3,pass,passthrough,pass,rejected_at_store,0,recordsRealScore recordsRealSurvivalTime recordsRealPlayerName recordRunEndAddsExactlyOneEntry,ApoMarioLevel.java:1208: String name = player.getTeamName();
i26-graph__generation_s__agentic__static-ast__r1,generation_s__agentic__static-ast,1,completed,True,2,pass,fallback,pass,recorded,0,,"ApoMarioMenu.java:573: String name = names.get(i) == null ? ""Unknown"" : names.get(i); | ApoMarioHighscore.java:88: String name = selected.getTeamName();"
i26-graph__generation_s__agentic__static-ast__r2,generation_s__agentic__static-ast,2,completed,True,2,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:73: String name = selected.getTeamName();
i26-graph__generation_s__agentic__static-guard__r1,generation_s__agentic__static-guard,1,completed,True,1,pass,fallback,pass,recorded,0,,"ApoMarioMenu.java:557: String name = names.get(i) == null ? ""Unknown"" : names.get(i); | ApoMarioHighscore.java:110: String name = player.getTeamName();"
i26-graph__generation_s__agentic__static-guard__r2,generation_s__agentic__static-guard,2,completed,True,5,pass,fallback,pass,recorded,0,,"ApoMarioMenu.java:592: if (name == null || name.length() == 0) name = ""Unknown""; | ApoMarioHighscore.java:61: String name = player.getTeamName();"
i26-graph__generation_s__agentic__static__r1,generation_s__agentic__static,1,completed,True,4,pass,fallback,pass,recorded,0,,"ApoMarioLevel.java:1203: String name = selected.getTeamName(); | ApoMarioHighscore.java:66: String name = selected.getTeamName(); | ApoMarioHighscoreView.java:29: String name = names.get(i) == null ? ""Unknown"" : names.get(i);"
i26-graph__generation_s__agentic__static__r2,generation_s__agentic__static,2,completed,True,2,pass,passthrough,pass,rejected_at_store,0,,ApoMarioHighscore.java:109: String name = selected.getTeamName();
